"Plot Title: jp.tw.A"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20578496, SEN S/N: 20578496)","Bad Battery (LGR S/N: 20578496)","Coupler Detached (LGR S/N: 20578496)","Good Battery (LGR S/N: 20578496)","Coupler Attached (LGR S/N: 20578496)","Host Connected (LGR S/N: 20578496)","End Of File (LGR S/N: 20578496)"
60,08/25/24 08:42:02 AM,5.962,,,,,,
61,08/25/24 10:42:02 AM,10.651,,,,,,
62,08/25/24 12:42:02 PM,12.980,,,,,,
63,08/25/24 02:42:02 PM,17.379,,,,,,
64,08/25/24 04:42:02 PM,13.558,,,,,,
65,08/25/24 06:42:02 PM,11.625,,,,,,
66,08/25/24 08:42:02 PM,8.481,,,,,,
67,08/25/24 10:42:02 PM,7.882,,,,,,
68,08/26/24 12:42:02 AM,6.877,,,,,,
69,08/26/24 02:42:02 AM,6.370,,,,,,
70,08/26/24 04:42:02 AM,6.064,,,,,,
71,08/26/24 06:42:02 AM,5.552,,,,,,
72,08/26/24 08:42:02 AM,6.166,,,,,,
73,08/26/24 10:42:02 AM,9.472,,,,,,
74,08/26/24 12:42:02 PM,11.528,,,,,,
75,08/26/24 02:42:02 PM,12.497,,,,,,
76,08/26/24 04:42:02 PM,14.325,,,,,,
77,08/26/24 06:42:02 PM,12.787,,,,,,
78,08/26/24 08:42:02 PM,9.275,,,,,,
79,08/26/24 10:42:02 PM,7.582,,,,,,
80,08/27/24 12:42:02 AM,6.471,,,,,,
81,08/27/24 02:42:02 AM,5.860,,,,,,
82,08/27/24 04:42:02 AM,4.831,,,,,,
83,08/27/24 06:42:02 AM,4.311,,,,,,
84,08/27/24 08:42:02 AM,5.757,,,,,,
85,08/27/24 10:42:02 AM,10.063,,,,,,
86,08/27/24 12:42:02 PM,15.760,,,,,,
87,08/27/24 02:42:02 PM,19.472,,,,,,
88,08/27/24 04:42:02 PM,19.472,,,,,,
89,08/27/24 06:42:02 PM,17.665,,,,,,
90,08/27/24 08:42:02 PM,12.497,,,,,,
91,08/27/24 10:42:02 PM,9.768,,,,,,
92,08/28/24 12:42:02 AM,8.282,,,,,,
93,08/28/24 02:42:02 AM,7.280,,,,,,
94,08/28/24 04:42:02 AM,6.573,,,,,,
95,08/28/24 06:42:02 AM,5.757,,,,,,
96,08/28/24 08:42:02 AM,7.179,,,,,,
97,08/28/24 10:42:02 AM,10.944,,,,,,
98,08/28/24 12:42:02 PM,15.569,,,,,,
99,08/28/24 02:42:02 PM,18.901,,,,,,
100,08/28/24 04:42:02 PM,19.377,,,,,,
101,08/28/24 06:42:02 PM,16.141,,,,,,
102,08/28/24 08:42:02 PM,11.819,,,,,,
103,08/28/24 10:42:02 PM,9.965,,,,,,
104,08/29/24 12:42:02 AM,8.978,,,,,,
105,08/29/24 02:42:02 AM,8.082,,,,,,
106,08/29/24 04:42:02 AM,6.877,,,,,,
107,08/29/24 06:42:02 AM,6.166,,,,,,
108,08/29/24 08:42:02 AM,7.782,,,,,,
109,08/29/24 10:42:02 AM,12.690,,,,,,
110,08/29/24 12:42:02 PM,16.618,,,,,,
111,08/29/24 02:42:02 PM,16.141,,,,,,
112,08/29/24 04:42:02 PM,12.690,,,,,,
113,08/29/24 06:42:02 PM,11.625,,,,,,
114,08/29/24 08:42:02 PM,9.077,,,,,,
115,08/29/24 10:42:02 PM,7.280,,,,,,
116,08/30/24 12:42:02 AM,6.064,,,,,,
117,08/30/24 02:42:02 AM,5.037,,,,,,
118,08/30/24 04:42:02 AM,4.207,,,,,,
119,08/30/24 06:42:02 AM,3.472,,,,,,
120,08/30/24 08:42:02 AM,5.450,,,,,,
121,08/30/24 10:42:02 AM,10.944,,,,,,
122,08/30/24 12:42:02 PM,14.996,,,,,,
123,08/30/24 02:42:02 PM,19.377,,,,,,
124,08/30/24 04:42:02 PM,19.092,,,,,,
125,08/30/24 06:42:02 PM,14.517,,,,,,
126,08/30/24 08:42:02 PM,11.236,,,,,,
127,08/30/24 10:42:02 PM,9.077,,,,,,
128,08/31/24 12:42:02 AM,7.882,,,,,,
129,08/31/24 02:42:02 AM,6.978,,,,,,
130,08/31/24 04:42:02 AM,6.268,,,,,,
131,08/31/24 06:42:02 AM,5.757,,,,,,
132,08/31/24 08:42:02 AM,7.582,,,,,,
133,08/31/24 10:42:02 AM,12.207,,,,,,
134,08/31/24 12:42:02 PM,17.284,,,,,,
135,08/31/24 02:42:02 PM,19.377,,,,,,
136,08/31/24 04:42:02 PM,18.521,,,,,,
137,08/31/24 06:42:02 PM,15.855,,,,,,
138,08/31/24 08:42:02 PM,11.722,,,,,,
139,08/31/24 10:42:02 PM,9.669,,,,,,
140,09/01/24 12:42:02 AM,8.282,,,,,,
141,09/01/24 02:42:02 AM,7.179,,,,,,
142,09/01/24 04:42:02 AM,6.471,,,,,,
143,09/01/24 06:42:02 AM,5.757,,,,,,
144,09/01/24 08:42:02 AM,7.381,,,,,,
145,09/01/24 10:42:02 AM,12.497,,,,,,
146,09/01/24 12:42:02 PM,17.855,,,,,,
147,09/01/24 02:42:02 PM,21.282,,,,,,
148,09/01/24 04:42:02 PM,18.901,,,,,,
149,09/01/24 06:42:02 PM,15.855,,,,,,
150,09/01/24 08:42:02 PM,11.916,,,,,,
151,09/01/24 10:42:02 PM,10.063,,,,,,
152,09/02/24 12:42:02 AM,8.779,,,,,,
153,09/02/24 02:42:02 AM,7.882,,,,,,
154,09/02/24 04:42:02 AM,7.381,,,,,,
155,09/02/24 06:42:02 AM,6.471,,,,,,
156,09/02/24 08:42:02 AM,8.282,,,,,,
157,09/02/24 10:42:02 AM,13.173,,,,,,
158,09/02/24 12:42:02 PM,16.903,,,,,,
159,09/02/24 02:42:02 PM,20.329,,,,,,
160,09/02/24 04:42:02 PM,16.427,,,,,,
161,09/02/24 06:42:02 PM,14.900,,,,,,
162,09/02/24 08:42:02 PM,11.819,,,,,,
163,09/02/24 10:42:02 PM,9.571,,,,,,
164,09/03/24 12:42:02 AM,8.581,,,,,,
165,09/03/24 02:42:02 AM,7.782,,,,,,
166,09/03/24 04:42:02 AM,7.079,,,,,,
167,09/03/24 06:42:02 AM,6.674,,,,,,
168,09/03/24 08:42:02 AM,8.481,,,,,,
169,09/03/24 10:42:02 AM,12.980,,,,,,
170,09/03/24 12:42:02 PM,18.045,,,,,,
171,09/03/24 02:42:02 PM,20.710,,,,,,
172,09/03/24 04:42:02 PM,21.473,,,,,,
173,09/03/24 06:42:02 PM,18.711,,,,,,
174,09/03/24 08:42:02 PM,14.134,,,,,,
175,09/03/24 10:42:02 PM,12.110,,,,,,
176,09/04/24 12:42:02 AM,10.846,,,,,,
177,09/04/24 02:42:02 AM,9.768,,,,,,
178,09/04/24 04:42:02 AM,8.282,,,,,,
179,09/04/24 06:42:02 AM,7.381,,,,,,
180,09/04/24 08:42:02 AM,8.978,,,,,,
181,09/04/24 10:42:02 AM,12.304,,,,,,
182,09/04/24 12:42:02 PM,10.846,,,,,,
183,09/04/24 02:42:02 PM,12.690,,,,,,
184,09/04/24 04:42:02 PM,13.846,,,,,,
185,09/04/24 06:42:02 PM,12.497,,,,,,
186,09/04/24 08:42:02 PM,9.373,,,,,,
187,09/04/24 10:42:02 PM,8.481,,,,,,
188,09/05/24 12:42:02 AM,6.370,,,,,,
189,09/05/24 02:42:02 AM,5.655,,,,,,
190,09/05/24 04:42:02 AM,5.552,,,,,,
191,09/05/24 06:42:02 AM,5.037,,,,,,
192,09/05/24 08:42:02 AM,5.141,,,,,,
193,09/05/24 10:42:02 AM,6.268,,,,,,
194,09/05/24 12:42:02 PM,11.722,,,,,,
195,09/05/24 02:42:02 PM,15.282,,,,,,
196,09/05/24 04:42:02 PM,13.750,,,,,,
197,09/05/24 06:42:02 PM,10.846,,,,,,
198,09/05/24 08:42:02 PM,7.582,,,,,,
199,09/05/24 10:42:02 PM,5.655,,,,,,
200,09/06/24 12:42:02 AM,4.415,,,,,,
201,09/06/24 02:42:02 AM,3.578,,,,,,
202,09/06/24 04:42:02 AM,2.943,,,,,,
203,09/06/24 06:42:02 AM,2.303,,,,,,
204,09/06/24 08:42:02 AM,3.472,,,,,,
205,09/06/24 10:42:02 AM,10.357,,,,,,
206,09/06/24 12:42:02 PM,16.237,,,,,,
207,09/06/24 02:42:02 PM,19.948,,,,,,
208,09/06/24 04:42:02 PM,20.138,,,,,,
209,09/06/24 06:42:02 PM,16.427,,,,,,
210,09/06/24 08:42:02 PM,11.236,,,,,,
211,09/06/24 10:42:02 PM,8.779,,,,,,
212,09/07/24 12:42:02 AM,7.481,,,,,,
213,09/07/24 02:42:02 AM,6.471,,,,,,
214,09/07/24 04:42:02 AM,5.757,,,,,,
215,09/07/24 06:42:02 AM,5.347,,,,,,
216,09/07/24 08:42:02 AM,6.775,,,,,,
217,09/07/24 10:42:02 AM,11.236,,,,,,
218,09/07/24 12:42:02 PM,16.141,,,,,,
219,09/07/24 02:42:02 PM,18.236,,,,,,
220,09/07/24 04:42:02 PM,18.045,,,,,,
221,09/07/24 06:42:02 PM,14.230,,,,,,
222,09/07/24 08:42:02 PM,10.944,,,,,,
223,09/07/24 10:42:02 PM,9.077,,,,,,
224,09/08/24 12:42:02 AM,7.782,,,,,,
225,09/08/24 02:42:02 AM,7.280,,,,,,
226,09/08/24 04:42:02 AM,6.166,,,,,,
227,09/08/24 06:42:02 AM,5.655,,,,,,
228,09/08/24 08:42:02 AM,7.179,,,,,,
229,09/08/24 10:42:02 AM,11.819,,,,,,
230,09/08/24 12:42:02 PM,15.378,,,,,,
231,09/08/24 02:42:02 PM,16.141,,,,,,
232,09/08/24 04:42:02 PM,14.421,,,,,,
233,09/08/24 06:42:02 PM,12.594,,,,,,
234,09/08/24 08:42:02 PM,9.669,,,,,,
235,09/08/24 10:42:02 PM,8.382,,,,,,
236,09/09/24 12:42:02 AM,7.381,,,,,,
237,09/09/24 02:42:02 AM,6.573,,,,,,
238,09/09/24 04:42:02 AM,5.962,,,,,,
239,09/09/24 06:42:02 AM,5.347,,,,,,
240,09/09/24 08:42:02 AM,6.978,,,,,,
241,09/09/24 10:42:02 AM,11.916,,,,,,
242,09/09/24 12:42:02 PM,16.237,,,,,,
243,09/09/24 02:42:02 PM,17.094,,,,,,
244,09/09/24 04:42:02 PM,13.846,,,,,,
245,09/09/24 06:42:02 PM,11.625,,,,,,
246,09/09/24 08:42:02 PM,9.571,,,,,,
247,09/09/24 10:42:02 PM,8.282,,,,,,
248,09/10/24 12:42:02 AM,7.481,,,,,,
249,09/10/24 02:42:02 AM,6.471,,,,,,
250,09/10/24 04:42:02 AM,5.860,,,,,,
251,09/10/24 06:42:02 AM,5.347,,,,,,
252,09/10/24 08:42:02 AM,6.775,,,,,,
253,09/10/24 10:42:02 AM,11.041,,,,,,
254,09/10/24 12:42:02 PM,10.651,,,,,,
255,09/10/24 02:42:02 PM,13.173,,,,,,
256,09/10/24 04:42:02 PM,9.965,,,,,,
257,09/10/24 06:42:02 PM,7.782,,,,,,
258,09/10/24 08:42:02 PM,6.268,,,,,,
259,09/10/24 10:42:02 PM,5.450,,,,,,
260,09/11/24 12:42:02 AM,5.037,,,,,,
261,09/11/24 02:42:02 AM,4.207,,,,,,
262,09/11/24 04:42:02 AM,3.683,,,,,,
263,09/11/24 06:42:02 AM,3.367,,,,,,
264,09/11/24 08:42:02 AM,5.141,,,,,,
265,09/11/24 10:42:02 AM,9.768,,,,,,
266,09/11/24 12:42:02 PM,14.134,,,,,,
267,09/11/24 02:42:02 PM,18.331,,,,,,
268,09/11/24 04:42:02 PM,14.038,,,,,,
269,09/11/24 06:42:02 PM,9.669,,,,,,
270,09/11/24 08:42:02 PM,7.682,,,,,,
271,09/11/24 10:42:02 PM,6.166,,,,,,
272,09/12/24 12:42:02 AM,5.450,,,,,,
273,09/12/24 02:42:02 AM,4.623,,,,,,
274,09/12/24 04:42:02 AM,4.207,,,,,,
275,09/12/24 06:42:02 AM,3.893,,,,,,
276,09/12/24 08:42:02 AM,5.141,,,,,,
277,09/12/24 10:42:02 AM,9.669,,,,,,
278,09/12/24 12:42:02 PM,14.038,,,,,,
279,09/12/24 02:42:02 PM,16.903,,,,,,
280,09/12/24 04:42:02 PM,16.332,,,,,,
281,09/12/24 06:42:02 PM,12.594,,,,,,
282,09/12/24 08:42:02 PM,9.571,,,,,,
283,09/12/24 10:42:02 PM,7.882,,,,,,
284,09/13/24 12:42:02 AM,6.573,,,,,,
285,09/13/24 02:42:02 AM,5.860,,,,,,
286,09/13/24 04:42:02 AM,5.141,,,,,,
287,09/13/24 06:42:02 AM,4.415,,,,,,
288,09/13/24 08:42:02 AM,5.552,,,,,,
289,09/13/24 10:42:02 AM,9.866,,,,,,
290,09/13/24 12:42:02 PM,14.613,,,,,,
291,09/13/24 02:42:02 PM,17.760,,,,,,
292,09/13/24 04:42:02 PM,17.570,,,,,,
293,09/13/24 06:42:02 PM,14.517,,,,,,
294,09/13/24 08:42:02 PM,9.965,,,,,,
295,09/13/24 10:42:02 PM,8.082,,,,,,
296,09/14/24 12:42:02 AM,6.674,,,,,,
297,09/14/24 02:42:02 AM,5.655,,,,,,
298,09/14/24 04:42:02 AM,4.934,,,,,,
299,09/14/24 06:42:02 AM,4.519,,,,,,
300,09/14/24 08:42:02 AM,5.552,,,,,,
301,09/14/24 10:42:02 AM,10.161,,,,,,
302,09/14/24 12:42:02 PM,15.187,,,,,,
303,09/14/24 02:42:02 PM,18.331,,,,,,
304,09/14/24 04:42:02 PM,17.950,,,,,,
305,09/14/24 06:42:02 PM,14.709,,,,,,
306,09/14/24 08:42:02 PM,10.553,,,,,,
307,09/14/24 10:42:02 PM,8.282,,,,,,
308,09/15/24 12:42:02 AM,6.877,,,,,,
309,09/15/24 02:42:02 AM,6.064,,,,,,
310,09/15/24 04:42:02 AM,5.450,,,,,,
311,09/15/24 06:42:02 AM,4.623,,,,,,
312,09/15/24 08:42:02 AM,5.962,,,,,,
313,09/15/24 10:42:02 AM,11.431,,,,,,
314,09/15/24 12:42:02 PM,12.594,,,,,,
315,09/15/24 02:42:02 PM,15.760,,,,,,
316,09/15/24 04:42:02 PM,10.063,,,,,,
317,09/15/24 06:42:02 PM,9.965,,,,,,
318,09/15/24 08:42:02 PM,7.682,,,,,,
319,09/15/24 10:42:02 PM,6.573,,,,,,
320,09/16/24 12:42:02 AM,5.962,,,,,,
321,09/16/24 02:42:02 AM,5.244,,,,,,
322,09/16/24 04:42:02 AM,4.311,,,,,,
323,09/16/24 06:42:02 AM,3.683,,,,,,
324,09/16/24 08:42:02 AM,4.727,,,,,,
325,09/16/24 10:42:02 AM,10.161,,,,,,
326,09/16/24 12:42:02 PM,13.461,,,,,,
327,09/16/24 02:42:02 PM,11.819,,,,,,
328,09/16/24 04:42:02 PM,14.900,,,,,,
329,09/16/24 06:42:02 PM,12.110,,,,,,
330,09/16/24 08:42:02 PM,8.879,,,,,,
331,09/16/24 10:42:02 PM,7.079,,,,,,
332,09/17/24 12:42:02 AM,6.166,,,,,,
333,09/17/24 02:42:02 AM,5.552,,,,,,
334,09/17/24 04:42:02 AM,4.934,,,,,,
335,09/17/24 06:42:02 AM,4.415,,,,,,
336,09/17/24 08:42:02 AM,5.860,,,,,,
337,09/17/24 10:42:02 AM,9.373,,,,,,
338,09/17/24 12:42:02 PM,12.690,,,,,,
339,09/17/24 02:42:02 PM,11.041,,,,,,
340,09/17/24 04:42:02 PM,8.382,,,,,,
341,09/17/24 06:42:02 PM,7.381,,,,,,
342,09/17/24 08:42:02 PM,4.934,,,,,,
343,09/17/24 10:42:02 PM,3.683,,,,,,
344,09/18/24 12:42:02 AM,3.049,,,,,,
345,09/18/24 02:42:02 AM,2.410,,,,,,
346,09/18/24 04:42:02 AM,1.872,,,,,,
347,09/18/24 06:42:02 AM,1.439,,,,,,
348,09/18/24 08:42:02 AM,1.872,,,,,,
349,09/18/24 10:42:02 AM,5.037,,,,,,
350,09/18/24 12:42:02 PM,9.768,,,,,,
351,09/18/24 02:42:02 PM,14.134,,,,,,
352,09/18/24 04:42:02 PM,13.558,,,,,,
353,09/18/24 06:42:02 PM,10.161,,,,,,
354,09/18/24 08:42:02 PM,6.471,,,,,,
355,09/18/24 10:42:02 PM,4.727,,,,,,
356,09/19/24 12:42:02 AM,3.893,,,,,,
357,09/19/24 02:42:02 AM,3.155,,,,,,
358,09/19/24 04:42:02 AM,2.837,,,,,,
359,09/19/24 06:42:02 AM,2.195,,,,,,
360,09/19/24 08:42:02 AM,3.367,,,,,,
361,09/19/24 10:42:02 AM,7.782,,,,,,
362,09/19/24 12:42:02 PM,13.269,,,,,,
363,09/19/24 02:42:02 PM,17.379,,,,,,
364,09/19/24 04:42:02 PM,17.665,,,,,,
365,09/19/24 06:42:02 PM,13.750,,,,,,
366,09/19/24 08:42:02 PM,9.077,,,,,,
367,09/19/24 10:42:02 PM,7.179,,,,,,
368,09/20/24 12:42:02 AM,5.860,,,,,,
369,09/20/24 02:42:02 AM,5.141,,,,,,
370,09/20/24 04:42:02 AM,5.141,,,,,,
371,09/20/24 06:42:02 AM,4.623,,,,,,
372,09/20/24 08:42:02 AM,4.831,,,,,,
373,09/20/24 10:42:02 AM,10.357,,,,,,
374,09/20/24 12:42:02 PM,15.473,,,,,,
375,09/20/24 02:42:02 PM,16.523,,,,,,
376,09/20/24 04:42:02 PM,15.187,,,,,,
377,09/20/24 06:42:02 PM,12.787,,,,,,
378,09/20/24 08:42:02 PM,8.978,,,,,,
379,09/20/24 10:42:02 PM,7.179,,,,,,
380,09/21/24 12:42:02 AM,6.064,,,,,,
381,09/21/24 02:42:02 AM,5.037,,,,,,
382,09/21/24 04:42:02 AM,3.998,,,,,,
383,09/21/24 06:42:02 AM,3.367,,,,,,
384,09/21/24 08:42:02 AM,4.831,,,,,,
385,09/21/24 10:42:02 AM,9.866,,,,,,
386,09/21/24 12:42:02 PM,14.517,,,,,,
387,09/21/24 02:42:02 PM,15.282,,,,,,
388,09/21/24 04:42:02 PM,10.846,,,,,,
389,09/21/24 06:42:02 PM,7.682,,,,,,
390,09/21/24 08:42:02 PM,5.860,,,,,,
391,09/21/24 10:42:02 PM,5.037,,,,,,
392,09/22/24 12:42:02 AM,4.623,,,,,,
393,09/22/24 02:42:02 AM,4.311,,,,,,
394,09/22/24 04:42:02 AM,3.998,,,,,,
395,09/22/24 06:42:02 AM,3.893,,,,,,
396,09/22/24 08:42:02 AM,3.893,,,,,,
397,09/22/24 10:42:02 AM,4.207,,,,,,
398,09/22/24 12:42:02 PM,7.280,,,,,,
399,09/22/24 02:42:02 PM,11.139,,,,,,
400,09/22/24 04:42:02 PM,10.651,,,,,,
401,09/22/24 06:42:02 PM,8.382,,,,,,
402,09/22/24 08:42:02 PM,5.450,,,,,,
403,09/22/24 10:42:02 PM,4.207,,,,,,
404,09/23/24 12:42:02 AM,3.367,,,,,,
405,09/23/24 02:42:02 AM,2.730,,,,,,
406,09/23/24 04:42:02 AM,2.195,,,,,,
407,09/23/24 06:42:02 AM,1.764,,,,,,
408,09/23/24 08:42:02 AM,2.195,,,,,,
409,09/23/24 10:42:02 AM,6.370,,,,,,
410,09/23/24 12:42:02 PM,11.334,,,,,,
411,09/23/24 02:42:02 PM,14.517,,,,,,
412,09/23/24 04:42:02 PM,13.846,,,,,,
413,09/23/24 06:42:02 PM,10.553,,,,,,
414,09/23/24 08:42:02 PM,7.481,,,,,,
415,09/23/24 10:42:02 PM,5.962,,,,,,
416,09/24/24 12:42:02 AM,5.037,,,,,,
417,09/24/24 02:42:02 AM,4.207,,,,,,
418,09/24/24 04:42:02 AM,3.261,,,,,,
419,09/24/24 06:42:02 AM,2.837,,,,,,
420,09/24/24 08:42:02 AM,3.367,,,,,,
421,09/24/24 10:42:02 AM,7.983,,,,,,
422,09/24/24 12:42:02 PM,13.076,,,,,,
423,09/24/24 02:42:02 PM,16.141,,,,,,
424,09/24/24 04:42:02 PM,16.713,,,,,,
425,09/24/24 06:42:02 PM,13.076,,,,,,
426,09/24/24 08:42:02 PM,9.472,,,,,,
427,09/24/24 10:42:02 PM,7.481,,,,,,
428,09/25/24 12:42:02 AM,6.370,,,,,,
429,09/25/24 02:42:02 AM,5.655,,,,,,
430,09/25/24 04:42:02 AM,5.037,,,,,,
431,09/25/24 06:42:02 AM,4.415,,,,,,
432,09/25/24 08:42:02 AM,5.655,,,,,,
433,09/25/24 10:42:02 AM,10.748,,,,,,
434,09/25/24 12:42:02 PM,15.951,,,,,,
435,09/25/24 02:42:02 PM,19.567,,,,,,
436,09/25/24 04:42:02 PM,19.377,,,,,,
437,09/25/24 06:42:02 PM,15.760,,,,,,
438,09/25/24 08:42:02 PM,11.625,,,,,,
439,09/25/24 10:42:02 PM,9.373,,,,,,
440,09/26/24 12:42:02 AM,8.282,,,,,,
441,09/26/24 02:42:02 AM,7.381,,,,,,
442,09/26/24 04:42:02 AM,6.877,,,,,,
443,09/26/24 06:42:02 AM,6.166,,,,,,
444,09/26/24 08:42:02 AM,7.079,,,,,,
445,09/26/24 10:42:02 AM,10.944,,,,,,
446,09/26/24 12:42:02 PM,15.664,,,,,,
447,09/26/24 02:42:02 PM,17.855,,,,,,
448,09/26/24 04:42:02 PM,18.236,,,,,,
449,09/26/24 06:42:02 PM,14.421,,,,,,
450,09/26/24 08:42:02 PM,10.944,,,,,,
451,09/26/24 10:42:02 PM,9.472,,,,,,
452,09/27/24 12:42:02 AM,8.680,,,,,,
453,09/27/24 02:42:02 AM,7.983,,,,,,
454,09/27/24 04:42:02 AM,7.079,,,,,,
455,09/27/24 06:42:02 AM,6.471,,,,,,
456,09/27/24 08:42:02 AM,6.775,,,,,,
457,09/27/24 10:42:02 AM,11.528,,,,,,
458,09/27/24 12:42:02 PM,16.332,,,,,,
459,09/27/24 02:42:02 PM,14.996,,,,,,
460,09/27/24 04:42:02 PM,15.855,,,,,,
461,09/27/24 06:42:02 PM,12.401,,,,,,
462,09/27/24 08:42:02 PM,9.472,,,,,,
463,09/27/24 10:42:02 PM,7.882,,,,,,
464,09/28/24 12:42:02 AM,6.877,,,,,,
465,09/28/24 02:42:02 AM,6.166,,,,,,
466,09/28/24 04:42:02 AM,5.552,,,,,,
467,09/28/24 06:42:02 AM,4.623,,,,,,
468,09/28/24 08:42:02 AM,5.962,,,,,,
469,09/28/24 10:42:02 AM,11.528,,,,,,
470,09/28/24 12:42:02 PM,16.808,,,,,,
471,09/28/24 02:42:02 PM,20.424,,,,,,
472,09/28/24 04:42:02 PM,18.426,,,,,,
473,09/28/24 06:42:02 PM,14.230,,,,,,
474,09/28/24 08:42:02 PM,10.846,,,,,,
475,09/28/24 10:42:02 PM,8.978,,,,,,
476,09/29/24 12:42:02 AM,7.983,,,,,,
477,09/29/24 02:42:02 AM,7.280,,,,,,
478,09/29/24 04:42:02 AM,6.674,,,,,,
479,09/29/24 06:42:02 AM,5.962,,,,,,
480,09/29/24 08:42:02 AM,7.280,,,,,,
481,09/29/24 10:42:02 AM,11.722,,,,,,
482,09/29/24 12:42:02 PM,14.038,,,,,,
483,09/29/24 02:42:02 PM,17.855,,,,,,
484,09/29/24 04:42:02 PM,16.427,,,,,,
485,09/29/24 06:42:02 PM,14.134,,,,,,
486,09/29/24 08:42:02 PM,10.748,,,,,,
487,09/29/24 10:42:02 PM,8.978,,,,,,
488,09/30/24 12:42:02 AM,7.882,,,,,,
489,09/30/24 02:42:02 AM,7.079,,,,,,
490,09/30/24 04:42:02 AM,6.775,,,,,,
491,09/30/24 06:42:02 AM,6.166,,,,,,
492,09/30/24 08:42:02 AM,5.962,,,,,,
493,09/30/24 10:42:02 AM,11.431,,,,,,
494,09/30/24 12:42:02 PM,15.473,,,,,,
495,09/30/24 02:42:02 PM,17.760,,,,,,
496,09/30/24 04:42:02 PM,18.045,,,,,,
497,09/30/24 06:42:02 PM,13.846,,,,,,
498,09/30/24 08:42:02 PM,10.161,,,,,,
499,09/30/24 10:42:02 PM,8.082,,,,,,
500,10/01/24 12:42:02 AM,6.978,,,,,,
501,10/01/24 02:42:02 AM,6.268,,,,,,
502,10/01/24 04:42:02 AM,5.450,,,,,,
503,10/01/24 06:42:02 AM,5.244,,,,,,
504,10/01/24 08:42:02 AM,6.471,,,,,,
